1790182870.600 事件到画完 样本3435 无需重画4 p50=18.13ms p90=30.53ms p99=39.11ms max=44.27ms
1790182880.738 事件到画完 样本3465 无需重画4 p50=18.13ms p90=30.53ms p99=39.11ms max=44.27ms
1790182890.880 事件到画完 样本3494 无需重画4 p50=18.28ms p90=30.54ms p99=39.11ms max=44.27ms
1790182901.064 事件到画完 样本3524 无需重画4 p50=18.15ms p90=30.54ms p99=39.11ms max=44.27ms
1790182911.086 事件到画完 样本3557 无需重画4 p50=18.16ms p90=30.53ms p99=39.11ms max=44.27ms
1790182921.302 事件到画完 样本3587 无需重画4 p50=18.13ms p90=30.53ms p99=39.11ms max=44.27ms
1790182931.557 事件到画完 样本3616 无需重画4 p50=18.10ms p90=30.51ms p99=39.11ms max=44.27ms
1790182941.806 事件到画完 样本3651 无需重画4 p50=18.06ms p90=30.48ms p99=39.11ms max=44.27ms
1790182952.007 事件到画完 样本3681 无需重画4 p50=18.06ms p90=30.51ms p99=39.11ms max=44.27ms
1790182962.099 事件到画完 样本3710 无需重画4 p50=18.03ms p90=30.51ms p99=39.11ms max=44.27ms
1790182972.186 事件到画完 样本3740 无需重画4 p50=18.02ms p90=30.48ms p99=39.11ms max=44.27ms
1790182982.398 事件到画完 样本3773 无需重画5 p50=18.00ms p90=30.51ms p99=39.11ms max=44.27ms
1790182992.402 事件到画完 样本3805 无需重画5 p50=17.99ms p90=30.50ms p99=39.11ms max=44.27ms
1790183002.552 事件到画完 样本3832 无需重画5 p50=17.97ms p90=30.48ms p99=39.11ms max=44.27ms
1790183012.700 事件到画完 样本3860 无需重画5 p50=17.97ms p90=30.48ms p99=39.10ms max=44.27ms
1790183022.952 事件到画完 样本3884 无需重画5 p50=17.94ms p90=30.51ms p99=39.11ms max=44.27ms
1790183033.062 事件到画完 样本3915 无需重画5 p50=17.92ms p90=30.50ms p99=39.11ms max=44.27ms
1790183043.215 事件到画完 样本3946 无需重画5 p50=17.92ms p90=30.53ms p99=39.17ms max=44.27ms
