symbol,route,route_after_fix,ticker,multiplier,binance_price,cg_id,cg_price,price_ratio,identity,shown_cap_usd,right_cg_id,right_cap_usd,cap_error_x,same_ticker_ids
YFIUSDT,binance-原名,binance-原名,YFI,1.0,2383.0,,,,,,,,,
CRVUSDT,binance-原名,binance-原名,CRV,1.0,0.3519,,,,,,,,,
TRBUSDT,binance-原名,binance-原名,TRB,1.0,19.827,,,,,,,,,
RUNEUSDT,binance-原名,binance-原名,RUNE,1.0,0.637,,,,,,,,,
SUSHIUSDT,binance-原名,binance-原名,SUSHI,1.0,0.2709,,,,,,,,,
EGLDUSDT,binance-原名,binance-原名,EGLD,1.0,4.462,,,,,,,,,
SOLUSDT,binance-原名,binance-原名,SOL,1.0,116.68,,,,,,,,,
UNIUSDT,binance-原名,binance-原名,UNI,1.0,9.595,,,,,,,,,
AVAXUSDT,binance-原名,binance-原名,AVAX,1.0,10.747,,,,,,,,,
ENJUSDT,binance-原名,binance-原名,ENJ,1.0,0.02907,,,,,,,,,
KSMUSDT,binance-原名,binance-原名,KSM,1.0,4.596,,,,,,,,,
NEARUSDT,binance-原名,binance-原名,NEAR,1.0,4.691,,,,,,,,,
AAVEUSDT,binance-原名,binance-原名,AAVE,1.0,146.18,,,,,,,,,
FILUSDT,binance-原名,binance-原名,FIL,1.0,1.0226,,,,,,,,,
RSRUSDT,binance-原名,binance-原名,RSR,1.0,0.001733,,,,,,,,,
BELUSDT,binance-原名,binance-原名,BEL,1.0,0.13243,,,,,,,,,
AXSUSDT,binance-原名,binance-原名,AXS,1.0,1.1268,,,,,,,,,
ZENUSDT,binance-原名,binance-原名,ZEN,1.0,8.1,,,,,,,,,
SKLUSDT,binance-原名,binance-原名,SKL,1.0,0.004529,,,,,,,,,
GRTUSDT,binance-原名,binance-原名,GRT,1.0,0.02691,,,,,,,,,
1INCHUSDT,binance-原名,binance-原名,1INCH,1.0,0.10177,,,,,,,,,
CHZUSDT,binance-原名,binance-原名,CHZ,1.0,0.01683,,,,,,,,,
SANDUSDT,binance-原名,binance-原名,SAND,1.0,0.04371,,,,,,,,,
ANKRUSDT,binance-原名,binance-原名,ANKR,1.0,0.005074,,,,,,,,,
RVNUSDT,binance-原名,binance-原名,RVN,1.0,0.002398,,,,,,,,,
SFPUSDT,binance-原名,binance-原名,SFP,1.0,0.3073,,,,,,,,,
COTIUSDT,binance-原名,binance-原名,COTI,1.0,0.016991,,,,,,,,,
CHRUSDT,binance-原名,binance-原名,CHR,1.0,0.02138,,,,,,,,,
MANAUSDT,binance-原名,binance-原名,MANA,1.0,0.08794,,,,,,,,,
ALICEUSDT,binance-原名,binance-原名,ALICE,1.0,0.1483,,,,,,,,,
HBARUSDT,binance-原名,binance-原名,HBAR,1.0,0.09465,,,,,,,,,
ONEUSDT,binance-原名,binance-原名,ONE,1.0,0.0029181,,,,,,,,,
CELRUSDT,binance-原名,binance-原名,CELR,1.0,0.003064,,,,,,,,,
HOTUSDT,binance-原名,binance-原名,HOT,1.0,0.0004337,,,,,,,,,
MTLUSDT,binance-原名,binance-原名,MTL,1.0,0.3183,,,,,,,,,
OGNUSDT,binance-原名,binance-原名,OGN,1.0,0.02013,,,,,,,,,
1000SHIBUSDT,binance-去打包前缀,binance-去打包前缀,SHIB,1000.0,0.005984,,,,,,,,,
GTCUSDT,binance-原名,binance-原名,GTC,1.0,0.08802,,,,,,,,,
IOTXUSDT,binance-原名,binance-原名,IOTX,1.0,0.003983,,,,,,,,,
C98USDT,binance-原名,binance-原名,C98,1.0,0.01634,,,,,,,,,
MASKUSDT,binance-原名,binance-原名,MASK,1.0,0.4925,,,,,,,,,
DYDXUSDT,binance-原名,binance-原名,DYDX,1.0,0.1367,,,,,,,,,
1000XECUSDT,binance-去打包前缀,binance-去打包前缀,XEC,1000.0,0.009259,,,,,,,,,
GALAUSDT,binance-原名,binance-原名,GALA,1.0,0.002095,,,,,,,,,
CELOUSDT,binance-原名,binance-原名,CELO,1.0,0.09562,,,,,,,,,
ARUSDT,binance-原名,binance-原名,AR,1.0,4.528,,,,,,,,,
